minute, second
0,0
0,1
0,2
0,3
0,3
0,4
0,9
0,10
0,10
0,12
0,13
0,14
0,17
0,20
0,20
0,21
0,22
0,22
0,23
0,25
0,26
0,27
0,28
0,30
0,31
0,33
0,33
0,35
0,35
0,40
0,41
0,44
0,45
0,46
0,59
0,59
1,1
1,3
1,4
1,11
1,18
1,18
1,19
1,23
1,23
1,31
1,33
1,34
1,35
1,37
1,37
1,37
1,41
1,42
1,45
1,47
1,49
1,50
1,51
1,53
1,54
1,56
1,57
2,0
2,2
2,3
2,4
2,4
2,5
2,7
2,7
2,9
2,11
2,12
2,14
2,15
2,17
2,18
2,18
2,19
2,22
2,22
2,26
2,27
2,32
2,33
2,35
2,37
2,38
2,39
2,41
2,42
2,44
2,44
2,45
2,46
2,48
2,48
2,49
2,50
2,51
2,51
2,52
2,54
2,56
3,00
3,01
3,03
3,6
3,12
3,14
3,14
3,15
3,16
3,21
3,22
3,23
3,24
3,26
3,27
3,29
3,30
3,35
3,41
3,42
3,45
3,46
3,48
3,48
3,49
3,51
3,52
3,53
3,54
4,3
4,6
4,7
4,11
4,11
4,11
4,14
4,17
4,17
4,18
4,23
4,27
4,27
4,33
4,35
4,37
4,38
4,39
4,40
4,45
4,46
4,47
4,47
4,48
4,49
4,56
4,59
5,0
5,3
5,3
5,4
5,5
5,6
5,7
5,11
5,13
5,16
5,17
5,17
5,18
5,20
5,20
5,21
5,25
5,25
5,26
5,29
5,31
5,37
5,37
5,41
5,42
5,44
5,44
5,45
5,46
5,47
5,49
5,50
5,52
5,54
5,57
5,58
5,59
6,0
6,0
6,1
6,6
6,6
6,7
6,8
6,10
6,11
6,12
6,20
6,21
6,21
6,24
6,27
6,27
6,28
6,30
6,31
6,32
6,34
6,36
6,36
6,38
6,38
6,42
6,45
6,46
6,48
6,49
6,49
6,51
6,57
6,58
7,1
7,1
7,6
7,9
7,11
7,13
7,13
7,14
7,15
7,16
7,17
7,18
7,19
7,19
7,20
7,23
7,26
7,28
7,28
7,29
7,30
7,30
7,34
7,37
7,37
7,41
7,42
7,43
7,43
7,45
7,47
7,49
7,50
7,51
7,53
7,54
7,57
7,59
8,2
8,10
8,10
8,11
8,15
8,16
8,17
8,19
8,20
8,20
8,22
8,24
8,27
8,27
8,28
8,29
8,30
8,31
8,33
8,33
8,34
8,35
8,35
8,37
8,37
8,38
8,39
8,40
8,40
8,43
8,43
8,44
8,45
8,47
8,48
8,48
8,49
8,50
8,50
8,51
8,52
8,52
8,54
8,54
8,58
9,2
9,4
9,4
9,9
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,21
9,23
9,24
9,24
9,27
9,30
9,35
9,35
9,43
9,44
9,44
9,46
9,47
9,48
9,49
9,49
9,50
9,53
9,54
9,54
9,55
9,55
9,58
9,59



